[Thu Aug 22 17:28:34 2024] PHP 8.3.10 Development Server (http://127.0.0.1:8080) started
[Thu Aug 22 17:28:53 2024] 127.0.0.1:57954 Accepted
[Thu Aug 22 17:28:53 2024] 127.0.0.1:57954 Closing
[Thu Aug 22 17:28:53 2024] 127.0.0.1:57968 Accepted
[Thu Aug 22 17:28:53 2024] 127.0.0.1:57968 Closing
[Thu Aug 22 17:29:27 2024] 127.0.0.1:48146 Accepted
[Thu Aug 22 17:29:27 2024] 127.0.0.1:48146 Closing
[Thu Aug 22 17:29:31 2024] 127.0.0.1:48154 Accepted
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Tag main invalid in Entity, line: 1126 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Attribute data-v-55f897ea redefined in Entity, line: 1126 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Attribute data-v-55f897ea redefined in Entity, line: 1126 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Attribute data-v-55f897ea redefined in Entity, line: 1126 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Attribute data-v-55f897ea redefined in Entity, line: 1126 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Attribute data-v-55f897ea redefined in Entity, line: 1126 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Attribute data-v-55f897ea redefined in Entity, line: 1126 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Attribute data-v-55f897ea redefined in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Attribute data-v-55f897ea redefined in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Attribute data-v-55f897ea redefined in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Tag path invalid in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Tag path invalid in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Tag path invalid in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Unexpected end tag : g in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Tag svg invalid in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Tag path invalid in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Tag path invalid in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Tag path invalid in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
[Thu Aug 22 17:29:36 2024] PHP Warning:  DOMDocument::loadHTML(): Tag path invalid in Entity, line: 1127 in /home/useralex/mini-framework/mini-framework/lib/BalanceProcessor.php on line 61
